"Time","{dostawca=""GCP"", konfiguracja=""medium"", usługa=""Cloud Run""}"
2025-09-18 01:18:00,4.50
2025-09-18 01:18:30,4.50
2025-09-18 01:19:00,4.50
2025-09-18 01:19:30,4.50
2025-09-18 01:20:00,4.50
2025-09-18 01:20:30,4.50
2025-09-18 01:21:00,4.50
2025-09-18 01:21:30,4.50
2025-09-18 01:22:00,5
2025-09-18 01:22:30,5
2025-09-18 01:23:00,5
2025-09-18 01:23:30,5
2025-09-18 01:24:00,5
2025-09-18 01:24:30,5
2025-09-18 01:25:00,5
2025-09-18 01:25:30,5
2025-09-18 01:26:00,5
2025-09-18 01:26:30,5
2025-09-18 01:27:00,5
2025-09-18 01:27:30,5
2025-09-18 01:28:00,5
2025-09-18 01:28:30,5
2025-09-18 01:29:00,5
2025-09-18 01:29:30,5
2025-09-18 01:30:00,5
2025-09-18 01:30:30,5
2025-09-18 01:31:00,5
2025-09-18 01:31:30,5
2025-09-18 01:32:00,5
2025-09-18 01:32:30,5
2025-09-18 01:33:00,5
2025-09-18 01:33:30,5
2025-09-18 01:34:00,5
2025-09-18 01:34:30,5
2025-09-18 01:35:00,64.5
2025-09-18 01:35:30,64.5
2025-09-18 01:36:00,64.5
2025-09-18 01:36:30,64.5
2025-09-18 01:37:00,64.5
2025-09-18 01:37:30,64.5
2025-09-18 01:38:00,64.3
2025-09-18 01:38:30,64.3
2025-09-18 01:39:00,64.3
2025-09-18 01:39:30,64.3
2025-09-18 01:40:00,64.3
2025-09-18 01:40:30,64.3
2025-09-18 01:41:00,64.3
2025-09-18 01:41:30,64.3
2025-09-18 01:42:00,64.3
2025-09-18 01:42:30,64.3
2025-09-18 01:43:00,64.3
2025-09-18 01:43:30,64.3
2025-09-18 01:44:00,64.3
2025-09-18 01:44:30,64.3
2025-09-18 01:45:00,64.3
2025-09-18 01:45:30,64.3
2025-09-18 01:46:00,64.2
2025-09-18 01:46:30,64.2
2025-09-18 01:47:00,64.3
2025-09-18 01:47:30,64.3
2025-09-18 01:48:00,64.3
2025-09-18 01:48:30,64.3
2025-09-18 01:49:00,64.2
2025-09-18 01:49:30,64.2
2025-09-18 01:50:00,64.2
2025-09-18 01:50:30,64.2
2025-09-18 01:51:00,64.2
2025-09-18 01:51:30,64.2
2025-09-18 01:52:00,64.2
2025-09-18 01:52:30,64.2
2025-09-18 01:53:00,64.2
2025-09-18 01:53:30,64.2
2025-09-18 01:54:00,64.2
2025-09-18 01:54:30,64.2
2025-09-18 01:55:00,64.2
2025-09-18 01:55:30,64.2
2025-09-18 01:56:00,60.6
2025-09-18 01:56:30,60.5
2025-09-18 01:57:00,60.6
2025-09-18 01:57:30,60.5
2025-09-18 01:58:00,60.5
2025-09-18 01:58:30,60.5
2025-09-18 01:59:00,60.5
2025-09-18 01:59:30,60.5
2025-09-18 02:00:00,60
2025-09-18 02:00:30,60
2025-09-18 02:01:00,60
2025-09-18 02:01:30,60
2025-09-18 02:02:00,59.7
2025-09-18 02:02:30,59.7
2025-09-18 02:03:00,59.5
2025-09-18 02:03:30,59.5
2025-09-18 02:04:00,59.5
2025-09-18 02:04:30,59.5
2025-09-18 02:05:00,58.0
2025-09-18 02:05:30,58.0
2025-09-18 02:06:00,58.0
2025-09-18 02:06:30,58.0
2025-09-18 02:07:00,57.6
2025-09-18 02:07:30,57.6
2025-09-18 02:08:00,58.0
2025-09-18 02:08:30,58.0
2025-09-18 02:09:00,58.0
2025-09-18 02:09:30,58.0
2025-09-18 02:10:00,58.0
2025-09-18 02:10:30,58.0
2025-09-18 02:11:00,59.3
2025-09-18 02:11:30,59.3
2025-09-18 02:12:00,57.5
2025-09-18 02:12:30,57.5
2025-09-18 02:13:00,57.1
2025-09-18 02:13:30,57.1
2025-09-18 02:14:00,55.0
2025-09-18 02:14:30,55.0
2025-09-18 02:15:00,55.0
2025-09-18 02:15:30,55.0
2025-09-18 02:16:00,54.5
2025-09-18 02:16:30,54.5
2025-09-18 02:17:00,54.5
2025-09-18 02:17:30,54.5
2025-09-18 02:18:00,55.0
2025-09-18 02:18:30,55.0
2025-09-18 02:19:00,54.5
2025-09-18 02:19:30,54.5
2025-09-18 02:20:00,54.5
2025-09-18 02:20:30,54.5
2025-09-18 02:21:00,54.5
2025-09-18 02:21:30,54.5
2025-09-18 02:22:00,54.1
2025-09-18 02:22:30,54.1
2025-09-18 02:23:00,54.1
2025-09-18 02:23:30,54.1
2025-09-18 02:24:00,52
2025-09-18 02:24:30,52
2025-09-18 02:25:00,54.1
2025-09-18 02:25:30,54.1
2025-09-18 02:26:00,54.1
2025-09-18 02:26:30,54.1
2025-09-18 02:27:00,52
2025-09-18 02:27:30,52
2025-09-18 02:28:00,54.1
2025-09-18 02:28:30,54.1
2025-09-18 02:29:00,54.1
2025-09-18 02:29:30,54.1
2025-09-18 02:30:00,52
2025-09-18 02:30:30,52
2025-09-18 02:31:00,51.6
2025-09-18 02:31:30,51.6
2025-09-18 02:32:00,54.5
2025-09-18 02:32:30,54.5
2025-09-18 02:33:00,54.5
2025-09-18 02:33:30,54.5
2025-09-18 02:34:00,55.0
2025-09-18 02:34:30,55.0
2025-09-18 02:35:00,59.1
2025-09-18 02:35:30,59.0
2025-09-18 02:36:00,40
2025-09-18 02:36:30,40
2025-09-18 02:37:00,39.6
2025-09-18 02:37:30,39.5
2025-09-18 02:38:00,39.6
2025-09-18 02:38:30,39.5
2025-09-18 02:39:00,39.5
2025-09-18 02:39:30,39.5
2025-09-18 02:40:00,39.5
2025-09-18 02:40:30,39.5
2025-09-18 02:41:00,39.1
2025-09-18 02:41:30,39.0
2025-09-18 02:42:00,40
2025-09-18 02:42:30,40
2025-09-18 02:43:00,60.5
2025-09-18 02:43:30,60.5
2025-09-18 02:44:00,60.5
2025-09-18 02:44:30,60.5
2025-09-18 02:45:00,61
2025-09-18 02:45:30,61
2025-09-18 02:46:00,60.5
2025-09-18 02:46:30,60.5
2025-09-18 02:47:00,60.5
2025-09-18 02:47:30,60.5
2025-09-18 02:48:00,61
2025-09-18 02:48:30,61
2025-09-18 02:49:00,61
2025-09-18 02:49:30,61
2025-09-18 02:50:00,61.5
2025-09-18 02:50:30,61.5
2025-09-18 02:51:00,61.5
2025-09-18 02:51:30,61.5
2025-09-18 02:52:00,61.5
2025-09-18 02:52:30,61.5
2025-09-18 02:53:00,61.5
2025-09-18 02:53:30,61.5
2025-09-18 02:54:00,61.5
2025-09-18 02:54:30,61.5
2025-09-18 02:55:00,61.5
2025-09-18 02:55:30,61.5
2025-09-18 02:56:00,61.5
2025-09-18 02:56:30,61.5
2025-09-18 02:57:00,61.6
2025-09-18 02:57:30,61.5
2025-09-18 02:58:00,62
2025-09-18 02:58:30,62
2025-09-18 02:59:00,62
2025-09-18 02:59:30,62
2025-09-18 03:00:00,62
2025-09-18 03:00:30,62
2025-09-18 03:01:00,62.1
2025-09-18 03:01:30,62.1
2025-09-18 03:02:00,61.7
2025-09-18 03:02:30,61.7
2025-09-18 03:03:00,61.7
2025-09-18 03:03:30,61.7
2025-09-18 03:04:00,61.7
2025-09-18 03:04:30,61.7
2025-09-18 03:05:00,61.7
2025-09-18 03:05:30,61.7
2025-09-18 03:06:00,61.7
2025-09-18 03:06:30,61.7
2025-09-18 03:07:00,61.8
2025-09-18 03:07:30,61.8
2025-09-18 03:08:00,61.7
2025-09-18 03:08:30,61.7
2025-09-18 03:09:00,61.7
2025-09-18 03:09:30,61.7
2025-09-18 03:10:00,62
2025-09-18 03:10:30,62
2025-09-18 03:11:00,61.9
2025-09-18 03:11:30,61.9
2025-09-18 03:12:00,61.8
2025-09-18 03:12:30,61.8
2025-09-18 03:13:00,61.7
2025-09-18 03:13:30,61.7
2025-09-18 03:14:00,61.5
2025-09-18 03:14:30,61.5
2025-09-18 03:15:00,61.7
2025-09-18 03:15:30,61.7
2025-09-18 03:16:00,61.7
2025-09-18 03:16:30,61.7
2025-09-18 03:17:00,61.6
2025-09-18 03:17:30,61.6
2025-09-18 03:18:00,61.6
2025-09-18 03:18:30,61.6
2025-09-18 03:19:00,61.8
2025-09-18 03:19:30,61.8
2025-09-18 03:20:00,61.5
2025-09-18 03:20:30,61.5
2025-09-18 03:21:00,61.5
2025-09-18 03:21:30,61.5
2025-09-18 03:22:00,61.5
2025-09-18 03:22:30,61.5
2025-09-18 03:23:00,61.5
2025-09-18 03:23:30,61.5
2025-09-18 03:24:00,61.5
2025-09-18 03:24:30,61.5
2025-09-18 03:25:00,61.5
2025-09-18 03:25:30,61.5
