"Time","{dostawca=""Azure"", konfiguracja=""high"", usługa=""Container Apps""}","{dostawca=""Azure"", konfiguracja=""low"", usługa=""Container Apps""}","{dostawca=""Azure"", konfiguracja=""medium"", usługa=""Container Apps""}"
2025-09-13 19:29:30,1,3.50,0
2025-09-13 19:30:00,0.990,3.47,0
2025-09-13 19:30:30,0.990,3.47,0
2025-09-13 19:31:00,0.980,3.43,0
2025-09-13 19:31:30,0.980,3.43,0
2025-09-13 19:32:00,0.970,3.39,0
2025-09-13 19:32:30,0.970,3.39,0
2025-09-13 19:33:00,0.960,3.36,0
2025-09-13 19:33:30,0.960,3.36,0
2025-09-13 19:34:00,0.950,3.33,0
2025-09-13 19:34:30,0.950,3.33,0
2025-09-13 19:35:00,0.940,3.29,0
2025-09-13 19:35:30,0.940,3.29,0
2025-09-13 19:36:00,0.930,3.25,0
2025-09-13 19:36:30,0.930,3.25,0
2025-09-13 19:37:00,0.920,3.30,0
2025-09-13 19:37:30,0.920,3.30,0
2025-09-13 19:38:00,1,4.41,1.82
2025-09-13 19:38:30,1,4.41,1.82
2025-09-13 19:39:00,17.2,55.4,34.0
2025-09-13 19:39:30,17.2,55.4,34.0
2025-09-13 19:40:00,19,68.6,41.5
2025-09-13 19:40:30,19,68.6,41.5
2025-09-13 19:41:00,22.1,70.8,42.9
2025-09-13 19:41:30,22.1,70.8,42.9
2025-09-13 19:42:00,22.0,70.8,44.3
2025-09-13 19:42:30,22.0,70.8,44.3
2025-09-13 19:43:00,22.9,70.8,44.3
2025-09-13 19:43:30,22.9,70.8,44.3
2025-09-13 19:44:00,22.9,70.8,45.8
2025-09-13 19:44:30,22.9,70.8,45.8
2025-09-13 19:45:00,23,70.8,45.8
2025-09-13 19:45:30,23,70.8,45.8
2025-09-13 19:46:00,23,71,46.8
2025-09-13 19:46:30,23,71,46.8
2025-09-13 19:47:00,23,71,46.8
2025-09-13 19:47:30,23,71,46.8
2025-09-13 19:48:00,23,71,47
2025-09-13 19:48:30,23,71,47
2025-09-13 19:49:00,23,71,47
2025-09-13 19:49:30,23,71,47
2025-09-13 19:50:00,23,71,47
2025-09-13 19:50:30,23,71,47
2025-09-13 19:51:00,23,71.4,47
2025-09-13 19:51:30,23,71.4,47
2025-09-13 19:52:00,23,72.3,47
2025-09-13 19:52:30,23,72.3,47
2025-09-13 19:53:00,23,72.3,47
2025-09-13 19:53:30,23,72.3,47
2025-09-13 19:54:00,23,72.3,47
2025-09-13 19:54:30,23,72.3,47
2025-09-13 19:55:00,23,72.2,47
2025-09-13 19:55:30,23,72.2,47
