sep=,
"Time","k6_checks_rate"
2025-09-13 19:33:00,80 %
2025-09-13 19:33:15,80 %
2025-09-13 19:33:30,80 %
2025-09-13 19:33:45,80 %
2025-09-13 19:34:00,80 %
2025-09-13 19:34:15,80 %
2025-09-13 19:34:30,66.7 %
2025-09-13 19:34:45,71.4 %
2025-09-13 19:35:00,71.4 %
2025-09-13 19:35:15,75 %
2025-09-13 19:35:30,77.8 %
2025-09-13 19:35:45,81.7 %
2025-09-13 19:36:00,83.7 %
2025-09-13 19:36:15,85 %
2025-09-13 19:36:30,85.7 %
2025-09-13 19:36:45,86.3 %
2025-09-13 19:37:00,87 %
2025-09-13 19:37:15,87.3 %
2025-09-13 19:37:30,87.7 %
2025-09-13 19:37:45,87.7 %
2025-09-13 19:38:00,96 %
2025-09-13 19:38:15,96 %
2025-09-13 19:38:30,96 %
2025-09-13 19:38:45,96 %
2025-09-13 19:39:00,96 %
2025-09-13 19:39:15,96.7 %
2025-09-13 19:39:30,97.3 %
2025-09-13 19:39:45,97.3 %
2025-09-13 19:40:00,97.3 %
2025-09-13 19:40:15,97.3 %
2025-09-13 19:40:30,98 %
2025-09-13 19:40:45,98 %
2025-09-13 19:41:00,98 %
2025-09-13 19:41:15,98 %
2025-09-13 19:41:30,98 %
2025-09-13 19:41:45,98 %
2025-09-13 19:42:00,98 %
2025-09-13 19:42:15,98 %
2025-09-13 19:42:30,98 %
2025-09-13 19:42:45,98 %
2025-09-13 19:43:00,98 %
2025-09-13 19:43:15,98 %
2025-09-13 19:43:30,98 %
2025-09-13 19:43:45,98 %
2025-09-13 19:44:00,98 %
2025-09-13 19:44:15,98 %
2025-09-13 19:44:30,98 %
2025-09-13 19:44:45,98 %
2025-09-13 19:45:00,98 %
2025-09-13 19:45:15,98 %
2025-09-13 19:45:30,98 %
2025-09-13 19:45:45,98 %
2025-09-13 19:46:00,98 %
2025-09-13 19:46:15,98 %
2025-09-13 19:46:30,98 %
2025-09-13 19:46:45,98 %
2025-09-13 19:47:00,98 %
2025-09-13 19:47:15,98 %
2025-09-13 19:47:30,98 %
2025-09-13 19:47:45,98 %
2025-09-13 19:48:00,98.7 %
2025-09-13 19:48:15,98.7 %
2025-09-13 19:48:30,99.3 %
2025-09-13 19:48:45,99.3 %
2025-09-13 19:49:00,99.3 %
2025-09-13 19:49:15,99.3 %
2025-09-13 19:49:30,99.3 %
2025-09-13 19:49:45,99.3 %
2025-09-13 19:50:00,99.3 %
2025-09-13 19:50:15,99.3 %
2025-09-13 19:50:30,99.3 %
2025-09-13 19:50:45,99.3 %
2025-09-13 19:51:00,99.3 %
2025-09-13 19:51:15,99.3 %
2025-09-13 19:51:30,99.3 %
2025-09-13 19:51:45,100 %
2025-09-13 19:52:00,100 %
2025-09-13 19:52:15,100 %
2025-09-13 19:52:30,100 %
2025-09-13 19:52:45,100 %
2025-09-13 19:53:00,100 %
2025-09-13 19:53:15,100 %
2025-09-13 19:53:30,100 %
2025-09-13 19:53:45,100 %
2025-09-13 19:54:00,100 %
2025-09-13 19:54:15,100 %
2025-09-13 19:54:30,100 %
2025-09-13 19:54:45,100 %
2025-09-13 19:55:00,100 %
2025-09-13 19:55:15,100 %
2025-09-13 19:55:30,100 %
2025-09-13 19:55:45,100 %
2025-09-13 19:56:00,100 %
2025-09-13 19:56:15,100 %
2025-09-13 19:56:30,100 %
2025-09-13 19:56:45,100 %
2025-09-13 19:57:00,100 %
2025-09-13 19:57:15,100 %
2025-09-13 19:57:30,100 %
2025-09-13 19:57:45,100 %
2025-09-13 19:58:00,100 %
2025-09-13 19:58:15,100 %
2025-09-13 19:58:30,100 %
2025-09-13 19:58:45,100 %
2025-09-13 19:59:00,100 %
2025-09-13 19:59:15,100 %
2025-09-13 19:59:30,100 %
2025-09-13 19:59:45,100 %
2025-09-13 20:00:00,100 %
2025-09-13 20:00:15,100 %
2025-09-13 20:00:30,100 %
2025-09-13 20:00:45,100 %
2025-09-13 20:01:00,100 %
2025-09-13 20:01:15,100 %
2025-09-13 20:01:30,100 %
2025-09-13 20:01:45,100 %
2025-09-13 20:02:00,100 %
2025-09-13 20:02:15,100 %
2025-09-13 20:02:30,100 %
2025-09-13 20:02:45,100 %
2025-09-13 20:03:00,100 %
2025-09-13 20:03:15,100 %
2025-09-13 20:03:30,100 %
2025-09-13 20:03:45,100 %
2025-09-13 20:04:00,100 %
2025-09-13 20:04:15,100 %
2025-09-13 20:04:30,100 %
2025-09-13 20:04:45,100 %
2025-09-13 20:05:00,100 %
2025-09-13 20:05:15,100 %
2025-09-13 20:05:30,83.3 %
2025-09-13 20:05:45,90 %
2025-09-13 20:06:00,88.6 %
2025-09-13 20:06:15,87.1 %
2025-09-13 20:06:30,87.1 %
2025-09-13 20:06:45,73.3 %
2025-09-13 20:07:00,70.8 %
2025-09-13 20:07:15,67.5 %
2025-09-13 20:07:30,66.3 %
2025-09-13 20:07:45,63.0 %
2025-09-13 20:08:00,76.3 %
2025-09-13 20:08:15,83.3 %
2025-09-13 20:08:30,87.9 %
2025-09-13 20:08:45,90 %
2025-09-13 20:09:00,91 %
2025-09-13 20:09:15,92.4 %
2025-09-13 20:09:30,85.3 %
2025-09-13 20:09:45,86.7 %
2025-09-13 20:10:00,86.7 %
2025-09-13 20:10:15,87.3 %
2025-09-13 20:10:30,90 %
2025-09-13 20:10:45,90 %
2025-09-13 20:11:00,90 %
2025-09-13 20:11:15,90 %
2025-09-13 20:11:30,90.7 %
2025-09-13 20:11:45,90.7 %
2025-09-13 20:12:00,92 %
2025-09-13 20:12:15,92.7 %
2025-09-13 20:12:30,93.3 %
2025-09-13 20:12:45,93.3 %
2025-09-13 20:13:00,93.3 %
2025-09-13 20:13:15,94 %
2025-09-13 20:13:30,94 %
2025-09-13 20:13:45,94 %
2025-09-13 20:14:00,94 %
2025-09-13 20:14:15,94.7 %
2025-09-13 20:14:30,95.3 %
2025-09-13 20:14:45,95.3 %
2025-09-13 20:15:00,95.3 %
2025-09-13 20:15:15,95.3 %
2025-09-13 20:15:30,95.3 %
2025-09-13 20:15:45,95.3 %
2025-09-13 20:16:00,95.3 %
2025-09-13 20:16:15,95.3 %
2025-09-13 20:16:30,96 %
2025-09-13 20:16:45,96 %
2025-09-13 20:17:00,96 %
2025-09-13 20:17:15,96 %
2025-09-13 20:17:30,96 %
2025-09-13 20:17:45,96 %
