"Time","k6_checks_rate"
2025-09-18 01:16:45,80 %
2025-09-18 01:17:00,80 %
2025-09-18 01:17:15,80 %
2025-09-18 01:17:30,80 %
2025-09-18 01:17:45,80 %
2025-09-18 01:18:00,80 %
2025-09-18 01:18:15,80 %
2025-09-18 01:18:30,80 %
2025-09-18 01:18:45,66.7 %
2025-09-18 01:19:00,66.7 %
2025-09-18 01:19:15,71.4 %
2025-09-18 01:19:30,71.4 %
2025-09-18 01:19:45,75 %
2025-09-18 01:20:00,78.6 %
2025-09-18 01:20:15,81.4 %
2025-09-18 01:20:30,83.3 %
2025-09-18 01:20:45,85.3 %
2025-09-18 01:21:00,85.7 %
2025-09-18 01:21:15,86.3 %
2025-09-18 01:21:30,86.7 %
2025-09-18 01:21:45,88.8 %
2025-09-18 01:22:00,94.7 %
2025-09-18 01:22:15,95.3 %
2025-09-18 01:22:30,95.3 %
2025-09-18 01:22:45,96 %
2025-09-18 01:23:00,96 %
2025-09-18 01:23:15,96.7 %
2025-09-18 01:23:30,96.7 %
2025-09-18 01:23:45,96.7 %
2025-09-18 01:24:00,96.7 %
2025-09-18 01:24:15,96.7 %
2025-09-18 01:24:30,96.7 %
2025-09-18 01:24:45,96.7 %
2025-09-18 01:25:00,96.7 %
2025-09-18 01:25:15,98 %
2025-09-18 01:25:30,98 %
2025-09-18 01:25:45,98 %
2025-09-18 01:26:00,98 %
2025-09-18 01:26:15,98 %
2025-09-18 01:26:30,98 %
2025-09-18 01:26:45,98 %
2025-09-18 01:27:00,98 %
2025-09-18 01:27:15,98 %
2025-09-18 01:27:30,98 %
2025-09-18 01:27:45,98 %
2025-09-18 01:28:00,98 %
2025-09-18 01:28:15,98 %
2025-09-18 01:28:30,98 %
2025-09-18 01:28:45,98 %
2025-09-18 01:29:00,98 %
2025-09-18 01:29:15,98 %
2025-09-18 01:29:30,98 %
2025-09-18 01:29:45,98 %
2025-09-18 01:30:00,98 %
2025-09-18 01:30:15,98 %
2025-09-18 01:30:30,98 %
2025-09-18 01:30:45,98 %
2025-09-18 01:31:00,98 %
2025-09-18 01:31:15,98.7 %
2025-09-18 01:31:30,98.7 %
2025-09-18 01:31:45,98.7 %
2025-09-18 01:32:00,98.7 %
2025-09-18 01:32:15,98.7 %
2025-09-18 01:32:30,98.7 %
2025-09-18 01:32:45,98.7 %
2025-09-18 01:33:00,98.7 %
2025-09-18 01:33:15,98.7 %
2025-09-18 01:33:30,98.7 %
2025-09-18 01:33:45,98.7 %
2025-09-18 01:34:00,98.7 %
2025-09-18 01:34:15,98.7 %
2025-09-18 01:34:30,98.7 %
2025-09-18 01:34:45,98.7 %
2025-09-18 01:35:00,98.7 %
2025-09-18 01:35:15,98.7 %
2025-09-18 01:35:30,98.7 %
2025-09-18 01:35:45,98.7 %
2025-09-18 01:36:00,98.7 %
2025-09-18 01:36:15,98.7 %
2025-09-18 01:36:30,98.7 %
2025-09-18 01:36:45,98.7 %
2025-09-18 01:37:00,98.7 %
2025-09-18 01:37:15,98.7 %
2025-09-18 01:37:30,98.7 %
2025-09-18 01:37:45,99.3 %
2025-09-18 01:38:00,99.3 %
2025-09-18 01:38:15,99.3 %
2025-09-18 01:38:30,99.3 %
2025-09-18 01:38:45,99.3 %
2025-09-18 01:39:00,99.3 %
2025-09-18 01:39:15,99.3 %
2025-09-18 01:39:30,99.3 %
2025-09-18 01:39:45,99.3 %
2025-09-18 01:40:00,99.3 %
2025-09-18 01:40:15,99.3 %
2025-09-18 01:40:30,99.3 %
2025-09-18 01:40:45,99.3 %
2025-09-18 01:41:00,99.3 %
2025-09-18 01:41:15,99.3 %
2025-09-18 01:41:30,99.3 %
2025-09-18 01:41:45,99.3 %
2025-09-18 01:42:00,99.3 %
2025-09-18 01:42:15,99.3 %
2025-09-18 01:42:30,99.3 %
2025-09-18 01:42:45,99.3 %
2025-09-18 01:43:00,99.3 %
2025-09-18 01:43:15,99.3 %
2025-09-18 01:43:30,99.3 %
2025-09-18 01:43:45,99.3 %
2025-09-18 01:44:00,99.3 %
2025-09-18 01:44:15,99.3 %
2025-09-18 01:44:30,99.3 %
2025-09-18 01:44:45,99.3 %
2025-09-18 01:45:00,99.3 %
2025-09-18 01:45:15,99.3 %
2025-09-18 01:45:30,99.3 %
2025-09-18 01:45:45,99.3 %
2025-09-18 01:46:00,99.3 %
2025-09-18 01:46:15,100 %
2025-09-18 01:46:30,100 %
2025-09-18 01:46:45,100 %
2025-09-18 01:47:00,100 %
2025-09-18 01:47:15,100 %
2025-09-18 01:47:30,100 %
2025-09-18 01:47:45,100 %
2025-09-18 01:48:00,100 %
2025-09-18 01:48:15,100 %
2025-09-18 01:48:30,100 %
2025-09-18 01:48:45,100 %
2025-09-18 01:49:00,100 %
2025-09-18 01:49:15,100 %
2025-09-18 01:49:30,100 %
2025-09-18 01:49:45,83.9 %
2025-09-18 01:50:00,87.2 %
2025-09-18 01:50:15,89.0 %
2025-09-18 01:50:30,87.6 %
2025-09-18 01:50:45,86.8 %
2025-09-18 01:51:00,86.8 %
2025-09-18 01:51:15,85 %
2025-09-18 01:51:30,76.7 %
2025-09-18 01:51:45,70.8 %
2025-09-18 01:52:00,72.7 %
2025-09-18 01:52:15,75.9 %
2025-09-18 01:52:30,78.1 %
2025-09-18 01:52:45,81.0 %
2025-09-18 01:53:00,83.1 %
2025-09-18 01:53:15,83.8 %
2025-09-18 01:53:30,79.3 %
2025-09-18 01:53:45,82.7 %
2025-09-18 01:54:00,84.7 %
2025-09-18 01:54:15,84.7 %
2025-09-18 01:54:30,86 %
2025-09-18 01:54:45,81.3 %
2025-09-18 01:55:00,82.7 %
2025-09-18 01:55:15,82.7 %
2025-09-18 01:55:30,84.7 %
2025-09-18 01:55:45,84.7 %
2025-09-18 01:56:00,84.7 %
2025-09-18 01:56:15,85.3 %
2025-09-18 01:56:30,85.3 %
2025-09-18 01:56:45,86 %
2025-09-18 01:57:00,86.7 %
2025-09-18 01:57:15,86.7 %
2025-09-18 01:57:30,86 %
2025-09-18 01:57:45,86.7 %
2025-09-18 01:58:00,87.3 %
2025-09-18 01:58:15,87.3 %
2025-09-18 01:58:30,88 %
2025-09-18 01:58:45,88 %
2025-09-18 01:59:00,87.3 %
2025-09-18 01:59:15,87.3 %
2025-09-18 01:59:30,87.3 %
2025-09-18 01:59:45,86.7 %
2025-09-18 02:00:00,86.7 %
2025-09-18 02:00:15,86.7 %
2025-09-18 02:00:30,86.7 %
2025-09-18 02:00:45,86.7 %
2025-09-18 02:01:00,86.7 %
2025-09-18 02:01:15,88 %
2025-09-18 02:01:30,88 %
2025-09-18 02:01:45,88 %
2025-09-18 02:02:00,88 %
2025-09-18 02:02:15,88 %
2025-09-18 02:02:30,88 %
