sep=,
"Time","success_http_req_duration_p99"
2025-09-13 19:31:30,208 ms
2025-09-13 19:31:45,208 ms
2025-09-13 19:32:00,208 ms
2025-09-13 19:32:15,208 ms
2025-09-13 19:32:30,208 ms
2025-09-13 19:32:45,208 ms
2025-09-13 19:33:00,4.12 s
2025-09-13 19:33:15,4.12 s
2025-09-13 19:33:30,4.12 s
2025-09-13 19:33:45,4.12 s
2025-09-13 19:34:00,4.12 s
2025-09-13 19:34:15,4.12 s
2025-09-13 19:34:30,5.10 s
2025-09-13 19:34:45,7.43 s
2025-09-13 19:35:00,9.20 s
2025-09-13 19:35:15,12.4 s
2025-09-13 19:35:30,12.0 s
2025-09-13 19:35:45,10.9 s
2025-09-13 19:36:00,10.7 s
2025-09-13 19:36:15,10.6 s
2025-09-13 19:36:30,11.2 s
2025-09-13 19:36:45,11.0 s
2025-09-13 19:37:00,10.8 s
2025-09-13 19:37:15,10.8 s
2025-09-13 19:37:30,10.8 s
2025-09-13 19:37:45,10.7 s
2025-09-13 19:38:00,15.8 s
2025-09-13 19:38:15,15.6 s
2025-09-13 19:38:30,15.6 s
2025-09-13 19:38:45,15.5 s
2025-09-13 19:39:00,15.4 s
2025-09-13 19:39:15,15.3 s
2025-09-13 19:39:30,15.2 s
2025-09-13 19:39:45,15.1 s
2025-09-13 19:40:00,15.0 s
2025-09-13 19:40:15,15.0 s
2025-09-13 19:40:30,14.9 s
2025-09-13 19:40:45,14.8 s
2025-09-13 19:41:00,14.7 s
2025-09-13 19:41:15,14.7 s
2025-09-13 19:41:30,14.5 s
2025-09-13 19:41:45,14.4 s
2025-09-13 19:42:00,14.3 s
2025-09-13 19:42:15,14.2 s
2025-09-13 19:42:30,14.1 s
2025-09-13 19:42:45,14.0 s
2025-09-13 19:43:00,14.0 s
2025-09-13 19:43:15,13.8 s
2025-09-13 19:43:30,13.7 s
2025-09-13 19:43:45,13.6 s
2025-09-13 19:44:00,13.6 s
2025-09-13 19:44:15,13.5 s
2025-09-13 19:44:30,13.4 s
2025-09-13 19:44:45,13.2 s
2025-09-13 19:45:00,13.1 s
2025-09-13 19:45:15,13.0 s
2025-09-13 19:45:30,12.9 s
2025-09-13 19:45:45,12.9 s
2025-09-13 19:46:00,12.8 s
2025-09-13 19:46:15,12.7 s
2025-09-13 19:46:30,12.7 s
2025-09-13 19:46:45,12.7 s
2025-09-13 19:47:00,12.6 s
2025-09-13 19:47:15,12.6 s
2025-09-13 19:47:30,12.6 s
2025-09-13 19:47:45,12.6 s
2025-09-13 19:48:00,12.5 s
2025-09-13 19:48:15,12.5 s
2025-09-13 19:48:30,12.5 s
2025-09-13 19:48:45,12.5 s
2025-09-13 19:49:00,12.4 s
2025-09-13 19:49:15,12.4 s
2025-09-13 19:49:30,12.4 s
2025-09-13 19:49:45,12.3 s
2025-09-13 19:50:00,12.3 s
2025-09-13 19:50:15,12.3 s
2025-09-13 19:50:30,12.3 s
2025-09-13 19:50:45,12.3 s
2025-09-13 19:51:00,12.3 s
2025-09-13 19:51:15,12.2 s
2025-09-13 19:51:30,12.2 s
2025-09-13 19:51:45,12.2 s
2025-09-13 19:52:00,12.2 s
2025-09-13 19:52:15,12.2 s
2025-09-13 19:52:30,12.1 s
2025-09-13 19:52:45,12.1 s
2025-09-13 19:53:00,12.1 s
2025-09-13 19:53:15,12.1 s
2025-09-13 19:53:30,12.0 s
2025-09-13 19:53:45,12.0 s
2025-09-13 19:54:00,12.0 s
