"Time","http_req_s","http_req_s_errors","http_req_s_success"
2025-09-18 01:19:00,39.2 req/s,5.42 req/s,33.7 req/s
2025-09-18 01:20:00,190 req/s,10.5 req/s,180 req/s
2025-09-18 01:21:00,218 req/s,,218 req/s
2025-09-18 01:22:00,175 req/s,,175 req/s
2025-09-18 01:23:00,98.5 req/s,,98.5 req/s
2025-09-18 01:24:00,80.6 req/s,,80.6 req/s
2025-09-18 01:25:00,118 req/s,,118 req/s
2025-09-18 01:26:00,105 req/s,,105 req/s
2025-09-18 01:27:00,96.2 req/s,,96.2 req/s
2025-09-18 01:28:00,101 req/s,,101 req/s
2025-09-18 01:29:00,79.1 req/s,,79.1 req/s
2025-09-18 01:30:00,59.2 req/s,,59.2 req/s
2025-09-18 01:31:00,78.1 req/s,,78.1 req/s
2025-09-18 01:32:00,61.6 req/s,,61.6 req/s
2025-09-18 01:33:00,51.2 req/s,,51.2 req/s
2025-09-18 01:34:00,76.2 req/s,,76.2 req/s
2025-09-18 01:35:00,70.9 req/s,,70.9 req/s
2025-09-18 01:36:00,79.1 req/s,,79.1 req/s
2025-09-18 01:37:00,106 req/s,,106 req/s
2025-09-18 01:38:00,63.3 req/s,,63.3 req/s
2025-09-18 01:39:00,70.7 req/s,,70.7 req/s
2025-09-18 01:40:00,68.7 req/s,,68.7 req/s
2025-09-18 01:41:00,56.3 req/s,,56.3 req/s
2025-09-18 01:42:00,68.1 req/s,,68.1 req/s
2025-09-18 01:43:00,76.5 req/s,,76.5 req/s
2025-09-18 01:44:00,77.0 req/s,,77.0 req/s
2025-09-18 01:45:00,62.8 req/s,,62.8 req/s
2025-09-18 01:46:00,69.7 req/s,,69.7 req/s
2025-09-18 01:47:00,71.1 req/s,,71.1 req/s
2025-09-18 01:48:00,98.3 req/s,,98.3 req/s
2025-09-18 01:49:00,64.5 req/s,,64.5 req/s
2025-09-18 01:50:00,24.1 req/s,4.88 req/s,19.2 req/s
2025-09-18 01:51:00,70.0 req/s,11.7 req/s,58.3 req/s
2025-09-18 01:52:00,167 req/s,79.8 req/s,87.6 req/s
2025-09-18 01:53:00,225 req/s,15.1 req/s,210 req/s
2025-09-18 01:54:00,133 req/s,1.40 req/s,132 req/s
2025-09-18 01:55:00,205 req/s,14.6 req/s,191 req/s
2025-09-18 01:56:00,95.0 req/s,7.96 req/s,87.1 req/s
2025-09-18 01:57:00,118 req/s,0.344 req/s,117 req/s
2025-09-18 01:58:00,120 req/s,0.581 req/s,119 req/s
2025-09-18 01:59:00,143 req/s,1.60 req/s,141 req/s
2025-09-18 02:00:00,59.8 req/s,1.07 req/s,58.7 req/s
2025-09-18 02:01:00,129 req/s,3.34 req/s,126 req/s
2025-09-18 02:02:00,75.8 req/s,0.744 req/s,75.0 req/s
2025-09-18 02:03:00,102 req/s,0.805 req/s,101 req/s
2025-09-18 02:04:00,55.9 req/s,1.64 req/s,54.3 req/s
2025-09-18 02:05:00,112 req/s,8.53 req/s,103 req/s
2025-09-18 02:06:00,69.5 req/s,3.48 req/s,66.0 req/s
2025-09-18 02:07:00,88.8 req/s,0.657 req/s,88.2 req/s
2025-09-18 02:08:00,76.3 req/s,0.889 req/s,75.4 req/s
2025-09-18 02:09:00,94.5 req/s,3.06 req/s,91.4 req/s
2025-09-18 02:10:00,57.0 req/s,8.04 req/s,48.9 req/s
