Dostawca,Scenariusz,Grupa,N,VU: średnia,VU: mediana,VU: maksimum,VU: minimum,VU: odchylenie standardowe,VU: burstiness
Azure,Cold Start,1,4,1.5,1.5,3.0,0.0,1.5,2.0
Azure,Cold Start,2,4,0.8,0.0,3.0,0.0,1.3,4.0
Azure,Cold Start,3,4,0.8,0.0,3.0,0.0,1.3,4.0
Azure,Ramp-Up (Stress),1,66,1540.1,1560.0,1560.0,249.0,160.14,1.0129
Azure,Ramp-Up (Stress),2,66,1540.1,1560.0,1560.0,249.0,160.14,1.0129
Azure,Ramp-Up (Stress),3,66,1540.1,1560.0,1560.0,249.0,160.14,1.0129
Azure,Soak,1,180,528.8,540.0,540.0,0.0,74.13,1.0212
Azure,Soak,2,180,537.8,540.0,540.0,170.0,27.49,1.0041
Azure,Soak,3,180,528.8,540.0,540.0,0.0,74.14,1.0211
Azure,Spike,1,17,1594.8,1680.0,1680.0,232.0,340.71,1.0534
Azure,Spike,2,17,1594.8,1680.0,1680.0,232.0,340.71,1.0534
Azure,Spike,3,17,1594.8,1680.0,1680.0,232.0,340.71,1.0534
Azure,Steady,1,90,477.7,480.0,480.0,273.0,21.7,1.0049
Azure,Steady,2,90,477.7,480.0,480.0,273.0,21.7,1.0049
Azure,Steady,3,90,477.6,480.0,480.0,273.0,21.69,1.005
GCP,Cold Start,1,4,1.2,1.0,3.0,0.0,1.3,2.4
GCP,Cold Start,2,4,0.0,0.0,0.0,0.0,0.0,
GCP,Cold Start,3,4,0.0,0.0,0.0,0.0,0.0,
GCP,Ramp-Up (Stress),1,66,1546.4,1560.0,1560.0,665.0,109.33,1.0088
GCP,Ramp-Up (Stress),2,66,1550.0,1560.0,1560.0,938.0,75.99,1.0064
GCP,Ramp-Up (Stress),3,66,1550.0,1560.0,1560.0,938.0,75.99,1.0064
GCP,Soak,1,66,1550.0,1560.0,1560.0,938.0,75.99,1.0064
GCP,Soak,2,66,1550.0,1560.0,1560.0,938.0,75.99,1.0064
GCP,Soak,3,180,539.3,540.0,540.0,482.0,4.48,1.0014
GCP,Spike,1,66,1550.0,1560.0,1560.0,938.0,75.99,1.0064
GCP,Spike,2,66,1550.0,1560.0,1560.0,938.0,75.99,1.0064
GCP,Spike,3,66,1550.0,1560.0,1560.0,938.0,75.99,1.0064
GCP,Steady,1,4,0.0,0.0,0.0,0.0,0.0,
GCP,Steady,2,90,479.9,480.0,480.0,478.0,0.31,1.0002
GCP,Steady,3,90,479.2,480.0,480.0,433.0,4.96,1.0016
